student_id,age,program,semester,gpa,attendance,assignments_completion,stress_level,sleep_hours,mental_wellbeing,productivity_score,distractions,career_clarity,skill_readiness,engagement_score,gpa_score,APS,stress_score,sleep_score,mental_score,WWS,productivity_scaled,distraction_score,PTMS,career_score,skill_score,CRS,SRI,Category
S036,22,B.Sc,5,6.66,70,95,8,5,6,7,4,8,8,66,66.60000000000001,73.30000000000001,20,60,60,46.666666666666664,70,60,65.33333333333333,80,80,80.0,68.39,Blue
S037,21,MBA,1,6.14,76,89,7,4,8,3,2,8,4,49,61.4,71.3,30,60,80,56.666666666666664,30,80,53.0,80,40,60.0,61.32333333333333,Yellow
S038,18,B.Tech,1,9.22,97,73,5,4,7,8,2,7,7,65,92.2,89.80000000000001,50,60,70,60.0,80,80,75.0,70,70,70.0,74.94,Blue
S039,18,M.Sc,7,8.73,83,70,8,4,6,8,3,6,5,58,87.3,82.55,20,60,60,46.666666666666664,80,70,69.33333333333333,60,50,55.0,64.465,Yellow
S040,20,MBA,1,8.03,64,57,5,6,8,8,4,5,7,78,80.3,70.75,50,80,80,70.0,80,60,72.66666666666667,50,70,60.0,67.75833333333333,Blue
S041,20,M.Sc,8,8.99,93,74,5,8,5,6,5,2,5,42,89.9,87.64999999999999,50,100,50,66.66666666666667,60,50,50.666666666666664,20,50,35.0,60.26166666666666,Yellow
S042,24,M.Sc,1,8.71,65,78,4,5,6,7,6,8,5,84,87.10000000000001,78.65,60,60,60,60.0,70,40,64.66666666666667,80,50,65.0,68.02833333333334,Blue
S043,19,MBA,4,6.25,81,87,7,5,7,6,6,6,4,52,62.5,72.95,30,60,70,53.333333333333336,60,40,50.666666666666664,60,40,50.0,57.685,Yellow
S044,25,MBA,8,9.07,70,78,8,6,4,4,5,8,6,89,90.7,81.94999999999999,20,80,40,46.666666666666664,40,50,59.666666666666664,80,60,70.0,66.85166666666666,Blue
S045,21,MBA,8,7.66,75,65,3,5,6,4,8,2,3,67,76.6,73.8,70,60,60,63.333333333333336,40,20,42.333333333333336,20,30,25.0,50.77333333333333,Yellow
S046,21,MBA,7,8.73,92,62,6,4,4,7,7,4,4,97,87.3,83.65,40,60,40,46.666666666666664,70,30,65.66666666666667,40,40,40.0,59.56166666666667,Yellow
S047,25,MBA,3,9.08,68,90,9,8,8,6,3,2,4,59,90.8,83.8,10,100,80,63.333333333333336,60,70,63.0,20,40,30.0,59.406666666666666,Yellow
S048,24,M.Sc,3,6.77,65,92,3,7,5,3,6,7,6,67,67.69999999999999,71.75,70,100,50,73.33333333333333,30,40,45.666666666666664,70,60,65.0,64.82499999999999,Yellow
S049,23,MBA,1,5.94,75,94,7,5,3,8,4,2,3,47,59.400000000000006,71.0,30,60,30,40.0,80,60,62.333333333333336,20,30,25.0,49.266666666666666,Red
S050,23,B.Tech,8,6.41,88,74,6,4,5,8,3,2,7,80,64.1,73.25,40,60,50,50.0,80,70,76.66666666666667,20,70,45.0,60.80833333333334,Yellow
